Temp,Turbidity (cm),DO(mg/L),BOD (mg/L),CO2,pH`,Alkalinity (mg L-1 ),Hardness (mg L-1 ),Calcium (mg L-1 ),Ammonia (mg L-1 ),Nitrite (mg L-1 ),Phosphorus (mg L-1 ),H2S (mg L-1 ),Plankton (No. L-1),Water Quality
74.04,3.11,2.977,9.473,13.650,10.131,215.244,397.986,261.617,0.193,2.869,4.312,0.071,6724,2
6.54,11.35,10.166,9.247,11.051,2.375,288.859,302.439,254.379,0.347,2.208,0.007,0.033,7156,2
11.18,85.14,10.769,13.113,11.921,11.774,239.778,17.715,1.311,0.867,3.688,0.002,0.037,525,2
3.45,10.29,10.458,12.833,10.586,2.698,228.600,338.199,319.459,0.667,3.632,0.001,0.044,1085,2
1.07,97.97,1.826,6.630,10.645,4.180,237.477,307.425,359.202,0.773,2.054,4.619,0.075,627,2
60.92,3.98,14.970,8.627,13.419,10.751,230.730,391.943,4.475,0.170,4.586,3.208,0.085,528,2
73.81,5.06,11.513,13.620,13.556,2.388,278.619,359.757,0.916,0.778,3.235,3.261,0.044,6792,2
4.55,5.58,9.918,6.215,12.023,12.179,273.855,9.581,344.636,0.551,2.685,3.228,0.033,6514,2
3.22,1.34,1.606,12.759,10.032,11.245,245.951,0.256,1.588,0.860,3.315,4.081,0.086,6254,2
1.30,82.43,2.761,11.824,11.736,13.345,280.190,13.112,378.573,0.671,2.439,3.243,0.058,7452,2
0.19,10.43,2.405,11.651,12.870,5.458,251.677,12.709,2.587,0.457,3.751,4.795,0.081,154,2
12.56,92.03,0.713,7.862,12.662,12.916,206.194,301.326,345.125,0.796,4.975,0.006,0.091,6714,2
70.24,4.58,0.237,12.940,11.141,0.541,287.867,315.351,260.687,0.268,2.267,4.399,0.068,6630,2
61.52,98.99,1.073,9.020,14.901,13.380,226.146,18.262,327.430,0.763,3.779,4.121,0.084,6360,2
72.54,93.23,1.956,14.943,11.199,11.836,224.423,302.621,9.592,0.460,4.925,0.010,0.087,6169,2
14.66,3.07,13.162,7.634,12.333,5.352,200.140,375.667,3.956,0.777,4.696,0.004,0.084,968,2
11.66,93.59,10.100,11.065,13.168,10.954,269.719,333.317,353.874,0.200,2.820,0.006,0.074,6144,2
77.29,89.88,9.480,7.119,14.973,2.508,241.458,13.055,9.851,0.368,3.939,3.389,0.064,6749,2
2.62,89.70,14.172,11.180,14.194,10.096,281.947,17.668,302.896,0.737,2.394,4.179,0.058,7239,2
8.58,5.69,9.082,12.189,12.498,0.051,214.909,391.228,365.325,0.414,4.178,4.386,0.045,6711,2
10.05,86.33,13.784,7.211,10.989,14.809,206.372,358.515,284.543,0.125,3.311,3.386,0.059,294,2
14.79,13.08,1.303,10.686,10.198,11.128,256.685,18.662,301.245,0.094,3.620,0.006,0.055,6980,2
9.19,11.95,1.376,11.379,12.881,2.815,235.042,378.022,9.442,0.269,2.373,4.536,0.065,6946,2
63.64,14.02,0.930,7.302,11.167,1.834,274.684,369.191,340.645,0.784,2.932,0.008,0.041,6164,2
64.69,8.46,1.408,14.250,12.160,14.547,290.539,15.541,2.189,0.799,3.558,0.010,0.029,1981,2
32.94,20.15,7.6260,4.5570,1.3743,9.2666,198.0317,74.2979,139.2348,0.0388,0.4066,2.2057,0.0047,2208,1
31.01,22.39,5.5911,3.0203,4.2363,9.4811,34.6081,156.2919,24.3734,0.0274,0.2700,2.5833,0.0112,4637,1
17.81,18.50,6.3333,4.0272,4.2970,9.1576,31.5727,53.3893,15.7165,0.0255,1.4607,0.0265,0.0054,4516,1
19.32,19.97,6.1313,5.3405,2.8984,6.0796,180.7498,240.9634,148.4323,0.0279,0.6165,2.6369,0.0090,5539,1
16.38,20.48,5.1003,4.5552,8.9953,9.2666,38.2995,60.8275,115.5968,0.0284,0.9049,2.5704,0.0025,2541,1
34.57,22.92,5.2955,2.2076,8.9214,9.3227,111.5248,60.2561,146.4148,0.0259,0.1625,0.0297,0.0003,2418,1
16.86,29.28,5.1426,5.4998,3.3732,6.3765,32.2756,184.2344,22.4291,0.0355,1.0061,2.6738,0.0084,5845,1
30.55,17.71,7.6571,4.2195,9.9924,9.3142,140.2765,285.5056,10.8283,0.0318,0.5810,2.1211,0.0029,2831,1
33.77,17.38,5.9477,5.2919,8.9884,9.0642,114.8278,40.1707,13.9560,0.0313,1.7881,0.0100,0.0110,5295,1
17.12,22.94,5.9241,3.6990,1.1207,9.4758,119.2372,203.7386,205.5700,0.0463,0.8790,0.0291,0.0061,2447,1
31.47,29.32,5.3383,2.7995,4.6806,6.2978,45.4904,60.2347,116.9951,0.0295,0.1902,0.0233,0.0151,5586,1
33.52,18.42,5.3241,2.6421,8.3834,9.3413,41.3761,31.6495,174.1214,0.0346,0.4143,0.0102,0.0002,2063,1
31.81,27.17,6.8141,2.7541,9.8576,6.4558,28.6526,266.3357,193.2037,0.0449,1.1478,0.0179,0.0010,4969,1
17.42,21.77,5.5900,5.9714,8.9442,9.0631,38.1337,53.5472,20.7315,0.0401,0.6453,0.0267,0.0171,2838,1
15.79,25.71,5.7250,2.9772,2.6047,9.4167,127.7787,69.0650,238.4539,0.0420,0.8145,0.0263,0.0049,2053,1
19.30,22.57,6.5212,2.1558,1.3748,9.3348,45.1572,209.6599,14.4299,0.0400,1.1879,0.0108,0.0067,4916,1
30.30,24.89,5.2475,2.5773,3.1891,6.3864,133.6496,46.8962,22.4846,0.0392,0.8503,0.0294,0.0003,5714,1
33.38,28.63,7.4822,5.7024,9.5803,9.2222,147.9537,235.3583,206.2717,0.0457,1.5135,2.7063,0.0099,4815,1
16.99,22.05,6.6998,3.2033,3.4621,6.2328,175.3687,202.7575,173.2916,0.0350,1.7499,0.0124,0.0057,5594,1
19.68,26.63,6.2700,3.7418,1.7944,9.2578,30.9560,35.7126,210.3721,0.0420,0.5072,2.2848,0.0048,2332,1
18.01,17.86,7.4270,4.0439,9.9606,9.4730,31.3687,69.2604,12.8781,0.0317,0.1286,2.4188,0.0030,2310,1
31.31,19.50,5.6286,4.6689,1.3163,9.4828,119.5521,232.3462,133.7105,0.0487,0.8946,0.0136,0.0136,4543,1
31.26,19.05,5.1724,2.7121,9.3217,6.2400,172.2961,46.2165,188.2098,0.0426,0.1080,2.6546,0.0118,5870,1
34.31,22.15,6.6516,2.7561,8.3131,9.2643,49.8339,42.7661,219.7542,0.0415,1.6990,0.0145,0.0145,4558,1
18.99,29.85,6.5012,5.6230,8.7498,9.1791,167.4238,162.0241,17.6949,0.0276,0.4403,2.3835,0.0173,2063,1
34.58,15.91,6.4216,2.3493,0.0143,6.0130,44.3542,71.5445,15.2585,0.0283,1.3939,2.5117,0.0077,5888,1
17.93,16.56,6.3886,4.5893,3.2720,9.1868,48.6599,236.7659,20.9114,0.0315,1.5689,0.0206,0.0175,2938,1
33.44,19.79,7.4589,5.1714,3.2365,6.0186,131.1018,54.5657,198.0841,0.0458,1.3956,2.1698,0.0103,2611,1
31.54,26.37,5.5179,5.2628,1.9415,6.4408,48.8411,27.4594,14.1129,0.0357,1.4782,2.5006,0.0039,4680,1
32.08,24.80,7.6014,3.5943,9.1173,6.0659,38.9458,21.8899,14.0250,0.0375,0.3229,2.4031,0.0027,2542,1
16.25,21.12,6.6177,5.2311,4.1185,6.3228,25.8853,233.2164,12.4823,0.0297,0.4690,0.0203,0.0056,2889,1
17.39,16.92,5.2738,3.1373,4.5711,6.2257,30.4855,218.1127,16.4285,0.0309,0.5914,2.5589,0.0026,2318,1
18.98,27.96,6.9051,4.5638,9.6112,6.1538,112.2975,224.1019,22.7067,0.0269,0.6399,0.0206,0.0010,5701,1
16.21,16.38,6.6575,5.7585,3.5988,6.4007,199.8996,46.5194,156.0966,0.0468,0.4083,2.8103,0.0164,5493,1
31.33,25.88,7.2915,5.0224,8.4598,9.2752,26.5327,62.5055,18.4012,0.0473,0.3819,2.7835,0.0077,5679,1
18.70,16.17,6.0224,4.2742,0.5598,6.1473,139.5085,237.7167,20.3272,0.0490,1.9754,2.4435,0.0178,2497,1
33.45,19.12,7.9244,3.6921,3.6285,6.3176,198.2860,193.9362,12.6746,0.0466,1.9716,0.0274,0.0113,4683,1
19.58,29.54,6.4977,4.4084,8.9059,9.3127,104.4365,45.2330,148.5006,0.0331,0.1265,2.0132,0.0009,5717,1
18.69,27.82,6.8093,4.6441,8.4948,9.4182,47.2460,24.3481,178.4376,0.0437,1.2967,2.9961,0.0187,2283,1
16.06,28.76,6.4914,2.5921,0.9115,9.4440,26.8332,58.6992,15.0797,0.0335,1.7230,2.2182,0.0169,4812,1
15.30,29.84,6.9530,4.1028,0.1976,9.1598,153.4527,171.0838,171.0422,0.0428,1.8592,0.0286,0.0014,5360,1
17.50,24.78,5.0785,5.8323,2.9943,9.1629,33.1372,54.3859,196.5849,0.0301,0.6858,2.6913,0.0165,5405,1
17.79,19.23,7.8589,2.9475,2.1774,9.0203,127.7087,68.7020,180.1116,0.0320,1.0969,2.3767,0.0166,4717,1
17.92,21.77,6.2315,5.2304,9.0592,9.2119,36.9860,282.0308,175.3688,0.0393,1.4930,2.4153,0.0129,2459,1
17.80,16.12,5.0748,2.3122,8.0208,6.4674,27.8973,160.2968,21.0895,0.0280,1.0124,2.4023,0.0078,2416,1
31.31,23.24,6.7476,2.3043,8.0995,9.0307,181.4710,224.8207,162.1382,0.0429,0.0806,0.0114,0.0135,2425,1
16.01,18.11,6.4430,4.5628,1.0241,9.0778,26.1978,52.2928,20.1435,0.0500,0.7572,2.1059,0.0145,2584,1
34.10,22.93,7.0969,3.0227,2.1631,6.3140,35.2456,65.3353,140.4489,0.0299,0.8503,0.0149,0.0188,2978,1
18.96,27.85,5.2325,3.1182,1.3218,9.2035,144.1659,71.9356,111.1170,0.0306,0.3166,2.7201,0.0111,5708,1
16.85,21.93,6.7219,2.5262,3.1197,9.4708,152.6161,293.4972,16.8563,0.0470,0.3729,0.0215,0.0112,5095,1
17.74,17.85,5.8076,3.1137,3.2545,9.3898,117.8715,251.5187,14.2086,0.0346,0.6903,0.0289,0.0119,4904,1
34.41,16.35,6.7777,5.6236,1.0776,9.4266,33.2385,223.0518,221.2848,0.0250,1.8213,0.0140,0.0118,2765,1
31.86,21.18,7.6175,2.1182,4.7850,9.0817,110.4757,238.1902,211.4239,0.0330,1.8464,2.8336,0.0037,2026,1
34.53,18.36,6.9547,2.5766,3.8609,9.1620,34.1833,285.4416,226.0787,0.0265,0.9565,2.0638,0.0150,2800,1
16.40,28.67,6.0131,5.3611,9.9418,6.4081,28.3288,23.5191,107.8861,0.0390,1.3646,0.0178,0.0101,5421,1
31.79,15.83,7.2317,5.4361,9.4339,9.1703,141.0816,178.9338,22.0251,0.0408,0.5722,0.0186,0.0158,5743,1
34.54,22.56,5.8423,5.3051,0.5939,9.3516,47.3653,216.5589,134.1853,0.0356,1.6500,2.3418,0.0097,5580,1
15.65,26.22,6.0807,4.5448,4.7046,9.4252,40.2038,177.3489,222.3171,0.0256,1.4486,0.0136,0.0174,5082,1
30.13,20.59,7.6007,3.0914,8.2847,6.2050,119.1259,38.9550,132.0298,0.0468,1.8502,0.0169,0.0133,2041,1
33.00,23.54,5.1075,4.0783,3.2173,6.2200,43.0010,70.5237,17.9260,0.0403,1.4917,0.0141,0.0083,2347,1
28.37,42.30,3.26,1.99,7.99,7.52,89.23,147.08,47.34,0.002,0.015,1.606,0.0194,4390,0
28.66,63.77,4.86,1.50,6.94,8.25,42.90,134.06,89.69,0.002,0.015,0.638,0.0193,3859,0
20.55,34.50,3.56,1.74,5.47,8.60,52.11,109.74,74.74,0.020,0.002,0.191,0.0199,4344,0
24.93,78.42,4.89,1.35,5.08,6.98,58.80,105.93,76.51,0.003,0.010,1.952,0.0194,4327,0
28.30,63.24,4.37,1.07,7.84,8.67,91.70,75.82,33.71,0.000,0.006,0.491,0.0199,4152,0
29.18,35.66,4.35,1.82,5.31,8.04,46.07,103.65,70.75,0.000,0.012,0.389,0.0191,3266,0
28.01,34.14,3.75,1.24,6.68,7.61,49.01,78.37,52.18,0.014,0.010,1.687,0.0197,3689,0
29.79,31.79,4.74,1.06,7.30,8.13,78.80,138.19,55.39,0.024,0.003,0.515,0.0195,3934,0
25.71,58.60,4.12,1.06,6.62,6.80,67.94,79.54,39.39,0.003,0.016,0.210,0.0191,3706,0
20.64,71.98,3.61,1.71,6.42,8.28,85.42,87.98,87.29,0.002,0.013,1.978,0.0197,3740,0
20.86,68.42,4.70,1.43,7.12,6.76,67.62,149.16,95.90,0.016,0.011,0.930,0.0191,4032,0
29.77,79.98,4.57,1.70,5.83,7.92,89.37,100.65,92.68,0.005,0.018,1.137,0.0197,3051,0
24.49,60.26,4.94,1.84,6.41,8.34,60.26,115.04,70.04,0.006,0.001,0.724,0.0195,3137,0
28.94,48.36,4.96,1.38,7.59,8.80,83.65,145.56,56.81,0.005,0.006,0.135,0.0200,3004,0
29.11,30.85,4.21,1.53,6.77,8.70,99.58,77.88,25.63,0.023,0.011,0.056,0.0191,4234,0
29.61,41.77,3.03,1.75,7.96,7.43,66.11,88.06,28.69,0.011,0.010,1.862,0.0195,3920,0
27.78,63.96,3.51,1.40,7.82,8.27,59.18,87.74,64.00,0.011,0.015,0.902,0.0190,3646,0
29.48,51.45,3.62,1.77,7.84,7.45,89.59,133.29,61.18,0.005,0.009,1.412,0.0200,4406,0
26.79,38.31,3.45,1.47,6.70,7.61,80.23,77.55,25.96,0.023,0.019,1.886,0.0194,3039,0
27.14,57.14,4.45,1.88,5.04,7.08,52.39,111.78,59.53,0.020,0.019,0.063,0.0191,3273,0
21.38,59.43,4.30,1.28,5.94,7.96,95.43,131.02,26.96,0.004,0.013,0.542,0.0196,3642,0
20.83,70.58,4.86,1.71,7.62,6.54,75.97,132.50,82.67,0.005,0.010,0.970,0.0191,3335,0
21.12,53.61,4.09,1.13,5.50,7.52,29.67,97.98,57.40,0.020,0.016,1.149,0.0199,4034,0
23.69,75.92,3.88,1.34,7.59,7.46,93.93,89.78,97.12,0.013,0.004,1.525,0.0193,3462,0
29.65,73.17,4.28,1.52,6.98,6.86,38.82,112.60,67.53,0.008,0.018,0.525,0.0195,3675,0
23.62,56.09,3.44,1.33,5.33,8.35,60.16,77.21,90.49,0.002,0.014,0.825,0.0197,3214,0
29.30,56.45,3.10,1.69,7.92,7.31,52.20,107.16,67.98,0.019,0.017,0.182,0.0195,4218,0
20.96,63.98,3.42,1.86,5.61,7.46,61.04,118.67,60.74,0.024,0.002,0.428,0.0192,4411,0
21.22,64.08,4.73,1.91,6.63,8.97,26.74,80.30,69.49,0.001,0.011,1.782,0.0195,3021,0
24.89,39.45,3.22,1.87,5.06,8.06,37.60,126.16,95.32,0.005,0.017,1.326,0.0197,3665,0
29.23,53.61,4.93,1.77,6.74,7.51,83.39,140.42,25.95,0.004,0.016,1.280,0.0191,3832,0
21.35,60.85,3.81,1.75,6.31,7.08,64.10,78.66,46.08,0.005,0.001,0.061,0.0192,3483,0
21.44,76.30,3.36,1.70,5.58,8.91,77.64,80.28,30.68,0.008,0.011,0.394,0.0194,4307,0
23.33,38.31,4.13,1.60,7.79,6.86,76.85,102.77,75.20,0.022,0.020,0.079,0.0197,3219,0
24.55,73.21,3.82,1.68,7.42,7.50,84.05,88.67,72.10,0.013,0.016,1.595,0.0195,4416,0
20.08,43.71,4.58,1.30,7.00,7.83,51.52,79.74,32.00,0.015,0.005,0.624,0.0199,3883,0
24.08,58.70,3.15,1.54,5.90,6.75,40.74,99.50,75.17,0.014,0.008,0.988,0.0198,3981,0
21.81,36.24,3.05,1.93,5.17,7.95,75.05,139.54,33.13,0.012,0.003,1.001,0.0190,3249,0
28.73,55.88,4.68,1.71,5.21,6.76,74.02,119.64,72.49,0.002,0.002,0.149,0.0199,3976,0
25.49,34.04,3.24,1.77,7.02,7.99,95.74,106.53,37.88,0.005,0.007,1.437,0.0191,4454,0
28.61,48.51,4.91,1.58,6.64,7.70,70.52,112.65,48.13,0.010,0.015,0.031,0.0194,4270,0
20.53,63.70,4.22,1.96,6.46,8.54,65.76,101.27,50.50,0.014,0.008,1.444,0.0191,3798,0
25.11,31.32,3.53,1.03,6.69,7.93,69.99,84.67,88.65,0.011,0.017,0.938,0.0197,3795,0
21.46,62.59,4.39,1.53,7.43,7.03,46.83,115.14,41.57,0.012,0.012,1.415,0.0199,3704,0
24.39,74.63,4.05,1.27,7.39,7.58,60.54,104.81,86.13,0.023,0.014,1.584,0.0197,4130,0
24.55,52.51,4.26,1.19,5.34,7.58,70.77,119.81,67.78,0.011,0.011,0.047,0.0195,4389,0
23.18,73.35,4.24,1.17,6.50,8.68,81.97,100.74,69.08,0.005,0.002,0.524,0.0192,4348,0
29.26,67.52,4.44,1.18,5.21,8.37,51.29,89.36,74.90,0.007,0.008,0.214,0.0191,3527,0
27.22,52.41,3.09,1.30,7.60,7.49,95.38,75.38,37.57,0.000,0.009,1.576,0.0195,4279,0
26.37,60.33,4.61,1.38,7.64,6.92,35.68,84.98,59.23,0.021,0.001,0.062,0.0194,4121,0
29.46,65.01,3.79,1.63,7.67,7.85,51.37,115.25,51.99,0.023,0.014,1.674,0.0199,3340,0
27.30,41.67,3.33,1.38,6.91,6.55,66.50,86.78,33.81,0.012,0.006,0.166,0.0195,4266,0
25.22,52.70,4.79,1.46,7.10,6.80,96.20,107.07,44.92,0.016,0.020,0.404,0.0193,3342,0
26.47,32.39,4.78,1.76,6.19,8.09,75.94,144.12,81.01,0.008,0.002,0.182,0.0195,4131,0
27.36,60.57,4.69,1.26,7.34,7.71,41.48,137.02,70.68,0.004,0.000,1.509,0.0192,3605,0
28.71,30.85,4.19,1.68,5.84,8.99,74.14,148.96,50.10,0.006,0.004,0.318,0.0192,3513,0
28.67,61.22,3.84,1.04,5.38,8.15,76.03,139.21,51.27,0.014,0.016,0.799,0.0193,3222,0
22.29,39.72,4.11,1.45,7.58,8.93,30.19,90.08,60.64,0.018,0.009,0.934,0.0196,3380,0
23.01,55.29,4.09,1.80,7.97,8.70,33.15,99.45,52.34,0.004,0.006,0.422,0.0195,4216,0
24.10,53.99,4.44,1.57,6.96,8.26,62.79,138.22,79.69,0.005,0.006,0.668,0.0198,3409,0
21.92,65.53,3.75,1.61,5.15,6.71,70.31,80.05,61.84,0.011,0.020,1.918,0.0198,3252,0
21.95,64.52,3.48,1.75,7.49,7.60,30.44,134.78,29.36,0.016,0.015,0.341,0.0193,4471,0
21.50,66.30,4.34,1.67,7.76,6.50,71.67,128.34,98.76,0.006,0.003,1.440,0.0197,4019,0
28.55,52.05,3.07,1.73,5.26,8.20,46.66,101.76,30.44,0.002,0.013,0.493,0.0191,3092,0
29.31,46.43,3.77,1.36,7.78,8.44,27.92,105.73,54.58,0.009,0.009,1.628,0.0198,3713,0
27.80,57.36,4.57,1.90,7.66,8.78,57.61,79.95,80.57,0.003,0.014,1.575,0.0190,3105,0
21.58,72.92,3.69,1.97,5.73,7.39,37.42,137.76,77.11,0.012,0.014,1.493,0.0195,3580,0
27.29,75.72,4.13,1.01,6.20,7.86,40.85,97.27,25.89,0.002,0.003,1.493,0.0192,3937,0
21.94,61.30,3.64,1.55,5.31,8.13,75.62,142.27,65.84,0.018,0.010,0.200,0.0197,4349,0
24.58,55.86,4.99,1.71,7.87,6.94,74.40,97.99,54.94,0.009,0.011,0.630,0.0199,4171,0
